filename,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,human_familiarity
nasi-goreng.png,76.22,49.04,73.04,21.96,51.71,12.88,11.42,50.71,47.25,29.96,3.7
navy-beans.png,46.6,74.2,42.12,14.18,18.82,6.41,6.41,29.82,13.71,8.65,3.04
nectarine.png,35.29,84.43,80.81,77.05,1.21,14.68,2.32,7.05,0.95,0.68,4.0
noodles-wheat.png,68.65,53.05,58.85,20.12,37.06,12.71,13.06,41.0,29.0,17.06,3.85
oats.png,47.48,76.38,47.29,22.16,11.53,3.47,6.84,17.0,7.21,1.74,3.62
octopus.png,56.05,60.95,45.86,20.42,36.25,17.67,11.33,55.08,29.58,18.25,2.81
okra.png,33.8,81.8,41.0,17.11,24.22,13.78,22.39,33.89,20.0,20.83,3.36
olive.png,39.78,70.67,54.28,4.06,64.59,14.88,19.47,37.18,10.82,1.59,3.67
omelette.png,47.33,66.29,57.33,26.89,34.22,10.22,9.39,43.0,23.78,11.28,3.52
onion-prepared.png,39.91,59.26,56.57,27.95,28.91,9.18,9.14,51.32,16.36,14.82,4.17
onion-raw.png,25.06,74.12,43.38,15.44,12.56,14.56,24.06,19.69,7.25,15.94,4.19
orange.png,19.71,85.59,79.12,74.0,1.94,31.47,15.53,7.24,0.24,0.06,4.35
oysters.png,53.15,64.77,55.62,4.73,49.18,10.91,15.09,53.45,18.27,8.27,3.38
pad-thai.png,68.05,56.9,77.67,36.15,60.62,26.77,15.62,58.85,37.92,36.15,3.1
paella.png,73.05,46.14,67.1,12.31,42.69,4.5,1.12,57.69,33.38,38.88,3.1
pancake.png,71.0,37.35,76.68,64.73,13.5,5.17,3.33,20.77,36.03,4.57,4.1
paneer.png,39.43,73.0,45.39,12.67,19.61,5.06,6.61,28.72,19.06,8.28,3.65
papaya.png,37.76,84.88,69.4,74.57,12.67,14.19,13.71,18.33,13.19,9.0,3.64
parsnip.png,39.77,60.85,38.42,37.33,57.17,18.83,18.5,49.33,61.83,34.67,1.96
passionfruit.png,32.68,78.0,54.45,65.15,18.38,37.38,18.38,18.46,15.69,14.31,3.0
pasta-spaghetti.png,58.0,39.05,64.57,14.81,22.43,7.71,4.43,25.38,21.05,9.71,4.38
pastry.png,78.0,44.56,71.62,72.5,29.5,21.2,23.3,26.7,37.2,18.5,2.69
peach-prepared.png,57.38,47.08,55.96,63.0,4.75,10.08,1.17,5.5,9.83,1.83,2.42
peach-raw.png,41.72,82.06,81.72,74.33,5.0,21.39,8.61,16.22,7.5,5.39,4.28
pear-prepared.png,59.57,48.61,52.96,70.29,20.14,12.86,6.86,16.0,16.07,12.36,2.96
pear-raw.png,30.38,85.67,73.71,67.57,6.86,13.19,8.43,11.76,6.05,5.29,3.9
peas.png,23.57,88.52,42.67,25.71,17.0,3.1,12.38,18.67,1.33,0.86,3.9
penne.png,59.48,49.67,68.0,13.33,30.52,10.15,9.56,28.89,26.85,13.37,4.22
persimmon.png,29.03,77.62,49.86,46.62,6.69,8.69,4.5,10.44,2.44,1.12,2.83
pesto-chicken.png,50.84,58.68,63.37,7.44,47.33,6.67,7.33,60.11,16.44,6.33,2.63
pesto-pasta.png,59.83,50.0,64.65,10.65,36.15,7.85,8.55,43.6,19.7,15.7,3.7
pho.png,54.38,60.54,65.29,13.33,42.33,12.33,6.0,61.22,28.11,22.11,3.17
pickled-cucumber.png,26.95,60.14,48.43,18.85,51.4,41.75,22.35,25.25,2.2,4.3,3.81
pineapple-prepared.png,42.32,81.95,70.89,68.89,13.32,36.16,13.63,15.89,12.58,7.95,3.89
pineapple-raw.png,34.47,79.68,67.37,77.89,11.89,31.95,12.21,7.63,5.42,4.53,4.42
pinto-beans.png,53.82,75.55,51.55,11.0,20.16,3.11,4.53,42.74,19.95,5.58,3.82
pita.png,60.64,38.12,53.64,13.67,27.75,11.33,8.83,29.5,17.58,8.58,2.52
pizza.png,85.36,30.32,90.09,14.14,42.57,6.71,2.62,61.57,51.86,11.29,4.23
plain-bagel.png,64.75,47.3,71.8,25.84,20.95,8.05,5.05,15.47,16.32,4.21,3.95
plantain.png,55.33,57.5,65.33,67.62,19.38,15.85,14.31,22.31,21.08,20.54,3.17
plum-prepared.png,48.55,58.77,40.05,75.09,14.82,26.36,23.27,20.64,17.64,12.45,2.45
plum-raw.png,31.89,85.7,74.33,62.5,10.27,24.5,12.65,9.31,12.81,8.31,4.0
polenta-cake.png,81.17,26.96,70.92,67.64,15.29,14.43,6.86,22.07,26.64,7.0,3.0
polenta.png,53.81,57.38,51.33,27.15,29.31,13.08,14.0,28.46,32.54,12.23,2.67
pomegranate.png,37.3,83.75,68.05,69.35,2.71,26.82,16.24,14.0,2.35,1.12,3.85
popcorn.png,42.65,48.19,70.04,27.38,57.85,3.35,1.04,23.69,15.42,10.88,4.35
pork-chop.png,75.23,60.0,74.27,14.75,50.25,13.55,14.5,55.8,60.8,23.1,3.95
portobello-mushrooms.png,35.42,76.65,63.0,13.24,19.4,7.08,8.24,47.4,15.4,5.84,3.92
potato-chips.png,76.82,22.29,72.47,6.24,68.12,6.47,5.65,34.24,43.35,16.88,4.24
potato-prepared.png,64.52,49.39,69.61,6.13,41.48,3.35,4.78,45.43,24.0,12.04,4.22
potato-salad.png,62.95,53.95,51.68,26.42,30.92,13.17,2.42,25.92,33.92,14.08,2.95
prawns.png,56.32,61.68,69.53,16.5,51.72,8.67,11.11,53.39,23.94,18.72,3.79
pretzel.png,62.5,41.2,70.65,17.37,57.11,7.0,4.37,27.68,20.42,5.53,3.65
prosciutto.png,69.26,38.58,59.89,10.5,55.25,8.5,5.42,62.25,51.83,6.0,3.05
prune.png,37.19,79.76,48.19,54.29,2.36,6.43,1.0,12.36,8.93,0.43,3.05
pudding.png,57.59,42.71,56.06,58.91,15.55,4.82,2.0,14.55,26.91,0.73,3.0
puff-pastry.png,74.5,34.75,67.9,38.56,32.17,8.94,10.61,43.83,36.0,23.94,3.65
pumpkin-pie.png,75.89,33.06,66.11,77.0,13.0,5.59,2.24,15.24,27.76,3.94,3.78
pumpkin-soup.png,55.89,64.32,53.53,35.31,22.54,8.46,5.85,34.92,20.69,12.69,2.89
pumpkin.png,40.85,66.3,61.55,43.19,5.75,3.0,4.56,20.69,6.56,4.94,3.4
quail-eggs.png,39.57,64.76,49.38,4.42,18.67,1.67,1.0,17.67,14.58,0.0,2.71
quesadilla.png,73.67,34.44,67.67,11.93,50.47,3.2,1.53,51.93,38.2,20.2,3.33
quinoa.png,45.92,74.85,52.15,10.94,10.94,2.06,1.82,19.12,3.76,3.47,3.0
radicchio.png,17.7,88.7,34.78,12.62,7.62,7.54,25.38,17.31,7.0,6.92,2.74
