filename,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,human_familiarity
falafel.png,62.47,47.94,58.53,13.08,39.33,11.25,9.42,50.42,36.92,17.83,3.18
fennel.png,28.27,84.82,51.09,23.38,27.23,16.38,20.46,37.85,9.31,11.15,2.73
fig-raw.png,43.05,75.84,57.89,59.53,9.93,16.4,16.2,23.8,9.2,5.4,3.58
fish-and-chips.png,84.33,33.39,78.56,14.22,64.17,13.17,13.0,61.22,55.89,18.56,4.06
flatbread.png,61.14,44.29,71.25,13.82,28.39,6.36,8.5,35.07,21.82,6.14,3.82
french-fries-chips.png,81.09,27.04,79.65,12.57,63.52,5.48,5.39,38.39,45.91,10.22,4.48
fried-chicken.png,79.71,24.76,78.12,2.94,56.62,1.69,7.19,64.44,69.62,11.88,3.88
fried-noodles.png,73.83,40.11,75.61,26.86,50.64,18.57,16.43,62.29,41.71,37.71,3.72
fried-rice.png,72.36,43.93,73.21,13.21,46.71,10.89,5.54,53.0,35.64,36.14,3.96
fried-tofu-bowl.png,54.93,63.79,76.5,21.36,36.73,12.64,7.64,47.64,14.27,22.55,3.64
fruit-leather.png,63.62,42.85,45.85,44.5,50.67,31.5,26.5,46.17,40.67,34.0,2.62
fudge.png,76.86,26.81,62.81,80.94,14.83,1.17,1.78,15.72,30.06,1.11,3.43
garden-salad.png,18.14,93.91,61.32,11.14,11.09,8.59,4.82,15.64,3.23,3.27,4.5
garlic.png,17.17,73.33,48.06,3.29,14.12,0.41,22.0,32.82,2.53,12.76,3.72
gelato.png,85.81,29.75,77.75,88.87,12.6,6.27,7.67,14.07,53.53,5.73,3.81
gooseberry.png,38.89,79.79,56.05,47.62,22.25,39.5,27.75,20.88,21.62,15.25,2.47
granola-bar.png,56.05,66.0,64.68,64.21,22.05,1.26,0.89,14.74,12.16,1.16,4.11
granola.png,54.67,65.71,54.95,33.18,16.76,2.41,2.24,18.41,7.94,5.18,3.48
grapefruit.png,22.96,84.54,52.58,43.32,7.45,55.82,44.05,15.32,5.59,6.55,3.46
grapes-green.png,35.83,81.94,86.22,68.06,1.39,20.67,1.94,5.89,3.83,0.33,4.39
grapes-red.png,36.15,81.55,88.65,87.05,3.95,13.9,4.0,9.6,1.35,0.45,4.6
greek-salad.png,38.45,78.0,56.95,19.92,27.08,20.46,9.69,27.62,14.08,10.54,2.95
green-beans-raw.png,14.39,91.04,54.43,10.7,11.87,2.87,6.3,12.87,1.57,0.96,4.09
grilled-salmon.png,58.35,75.35,65.59,11.69,39.44,13.06,14.44,59.12,55.0,16.5,3.88
ground-beef.png,63.14,50.36,49.36,8.53,35.12,6.06,5.53,44.29,51.71,12.41,3.5
guava.png,36.14,83.95,62.62,65.62,4.77,18.31,3.62,13.38,2.46,1.31,3.1
gyoza.png,70.67,41.37,74.63,16.25,48.58,14.29,7.04,65.71,39.62,24.25,3.78
ham.png,71.48,43.26,62.13,3.29,48.0,0.95,1.14,41.38,49.14,2.38,3.78
hamburger.png,87.11,33.14,71.64,17.61,48.64,10.39,4.57,49.29,57.93,14.21,4.04
honeydew.png,29.95,87.32,71.89,79.13,8.93,12.07,9.87,20.27,10.47,6.93,3.42
hot-dog.png,77.33,25.29,52.5,21.27,50.95,14.64,10.0,50.36,52.55,13.82,3.62
ice-cream.png,86.05,25.81,80.43,90.95,2.24,2.19,3.62,7.67,33.95,1.38,4.05
injera.png,50.78,49.72,32.08,38.44,12.72,13.94,7.39,16.56,15.61,8.72,2.39
jackfruit.png,36.94,74.94,55.0,71.56,3.89,5.11,2.22,25.11,7.11,0.89,2.65
jalapeno.png,28.09,64.87,48.96,11.95,9.59,11.05,14.45,21.23,9.82,78.23,3.78
jelly.png,45.5,26.64,56.5,80.77,1.46,4.23,0.77,6.69,13.08,0.85,3.64
kale-prepared.png,25.72,87.79,47.69,8.04,16.68,7.28,26.92,21.4,9.84,4.6,3.52
katsu.png,74.3,41.65,66.65,14.75,43.88,13.25,10.44,55.44,53.56,20.62,3.4
kidney-beans.png,61.46,72.92,43.69,8.17,20.5,2.67,9.83,25.92,20.75,1.67,3.85
kimchi-stew.png,49.81,57.12,64.69,31.23,52.0,16.31,10.85,56.38,17.92,46.69,3.62
kiwi.png,27.7,85.45,71.0,53.84,5.84,39.53,5.84,7.42,5.63,4.63,4.15
kohlrabi.png,20.44,81.64,45.92,8.45,1.64,0.82,9.82,13.18,2.45,2.36,2.4
kumquat.png,36.96,82.92,64.27,53.13,18.93,44.73,21.8,23.13,20.53,16.8,2.85
laksa.png,70.57,43.79,63.93,12.0,39.08,12.92,3.23,53.38,33.31,28.23,3.5
lamb-chop.png,74.89,52.56,64.83,7.62,54.25,4.88,4.88,52.31,65.38,16.62,3.78
lasagna.png,82.41,41.04,76.63,21.36,46.44,12.76,9.16,56.68,49.68,20.56,3.81
lavash.png,57.24,46.76,60.35,10.4,12.93,1.53,0.87,21.4,13.87,0.47,4.0
leek.png,33.53,75.0,33.59,18.75,34.5,13.5,10.75,31.5,15.0,17.25,2.47
lemon.png,26.7,76.44,55.15,16.15,10.44,77.19,24.78,8.56,4.04,4.26,4.3
lentil-stew.png,51.12,71.42,52.71,14.62,39.44,11.56,7.69,45.88,16.44,24.06,3.08
lentils.png,48.94,79.06,41.11,12.08,28.54,8.38,15.77,33.77,19.92,7.54,3.28
lettuce.png,21.35,89.65,58.27,11.88,10.68,8.28,13.08,11.04,8.0,4.52,4.27
lima-beans.png,33.0,80.91,41.74,16.61,24.61,14.28,18.28,32.72,15.83,14.89,3.3
lime.png,18.95,76.68,44.64,22.05,5.5,84.5,31.5,7.18,4.91,3.95,3.86
lobster.png,49.53,64.16,63.11,24.17,27.67,5.06,5.94,39.61,20.61,10.28,3.68
lollipop.png,70.0,14.84,54.32,90.28,4.8,6.68,2.28,8.56,13.12,3.16,3.68
lotus-root.png,29.56,62.06,36.56,8.25,7.5,5.25,4.25,1.75,3.5,0.5,2.12
lychee.png,36.86,70.55,68.0,75.0,7.6,18.8,8.4,7.67,6.93,6.6,3.0
mac-and-cheese.png,81.29,30.0,56.06,11.71,51.21,8.21,7.93,43.64,44.86,9.07,3.65
macaroni-pasta.png,63.05,43.09,52.73,12.0,26.14,8.73,7.45,30.59,19.5,8.82,3.91
mackerel.png,48.96,78.92,45.73,12.0,50.75,12.45,12.4,46.1,34.2,10.8,3.35
mandarin.png,35.68,83.68,81.74,71.89,6.37,31.16,12.05,8.89,6.05,4.89,4.53
mango-raw.png,44.83,80.83,67.5,72.83,3.0,22.0,4.75,20.17,8.0,0.75,4.17
matzo.png,37.88,57.71,38.08,7.08,34.0,1.58,8.08,30.92,6.33,1.33,2.42
meatballs.png,73.91,44.5,72.18,18.79,43.95,4.21,3.11,61.26,42.21,12.63,3.64
meatloaf.png,67.19,44.35,51.04,35.57,27.9,6.9,5.9,49.14,32.86,7.24,3.31
microgreens.png,10.32,84.5,37.14,9.5,7.3,10.0,23.6,8.0,1.3,3.4,2.45
milk-chocolate.png,85.27,26.14,78.86,92.05,12.18,8.18,14.55,19.68,33.95,9.86,4.27
miso-soup.png,48.5,72.32,62.32,28.35,54.53,29.0,25.71,59.65,29.71,25.18,3.5
mortadella.png,65.83,33.96,42.0,6.67,64.93,3.6,7.67,41.4,56.47,14.0,2.83
muesli.png,58.42,75.74,62.68,39.4,14.13,8.67,10.13,29.47,14.6,6.8,3.63
muffin-english.png,51.75,45.3,62.2,23.47,23.88,2.71,1.06,25.0,13.41,2.71,3.5
muffin.png,76.64,32.11,73.21,80.79,10.43,9.68,4.14,12.04,22.89,3.79,3.89
mulberry.png,30.03,85.55,80.72,65.91,4.04,20.04,9.22,11.04,5.61,3.74,3.66
mushrooms-button.png,35.36,79.36,62.64,9.15,21.45,9.35,12.2,33.5,10.7,8.75,4.09
mussels.png,36.47,59.06,48.76,20.0,33.9,10.2,7.6,45.2,14.0,7.6,2.94
mustard-greens.png,27.71,85.29,49.92,9.58,32.0,11.84,18.0,35.26,11.47,10.79,3.42
naan.png,65.47,42.37,72.32,17.61,33.33,8.0,6.78,36.72,25.56,6.22,3.74
nachos.png,75.96,35.92,70.31,11.52,48.04,13.04,2.09,43.96,36.48,38.04,3.77
napa-cabbage.png,19.81,92.44,55.06,19.94,13.5,12.38,17.88,16.88,15.25,10.88,4.06
